Date,Bullish,Neutral,Bearish,Total,8-week,Spread,SPYHighWk,SPYLowWK,SPYCloseWK
11/6/2008,44.83%,21.84%,33.33%,100%,35.96%,11.50%,952.4,934.13,952.77
11/13/2008,38.33%,19.17%,42.50%,100%,37.35%,-4.20%,865.07,847.4,852.3
11/20/2008,24.37%,18.49%,57.14%,100%,36.14%,-32.80%,805.87,776.79,806.58
11/27/2008,31.25%,23.86%,44.89%,100%,35.88%,-13.60%,896.25,881.21,887.68
12/4/2008,26.67%,25.56%,47.78%,100%,35.28%,-21.10%,872.89,858.55,870.74
12/11/2008,37.50%,22.66%,39.84%,100%,34.85%,-2.30%,899.95,885.94,899.24
12/18/2008,39.73%,24.66%,35.62%,100%,34.98%,4.10%,910.01,900.1,904.42
12/25/2008,28.95%,27.19%,43.86%,100%,33.95%,-14.90%,873.7,868.5,872.8
1/1/2009,24.00%,21.33%,54.67%,100%,31.35%,-30.70%,934.73,899.35,903.25
1/8/2009,48.70%,16.23%,35.06%,100%,32.65%,13.60%,907.64,896.81,906.65
1/15/2009,27.63%,25.00%,47.37%,100%,33.05%,-19.70%,842.05,825.53,842.62
1/22/2009,27.21%,26.47%,46.32%,100%,32.55%,-19.10%,839.74,816.69,840.24
1/29/2009,25.27%,27.47%,47.25%,100%,32.37%,-22.00%,868.89,854.37,874.09
2/5/2009,24.63%,31.34%,44.03%,100%,30.77%,-19.40%,832.63,819.91,832.23
2/12/2009,32.91%,27.85%,39.24%,100%,29.91%,-6.30%,829.91,811.35,833.74
2/19/2009,21.64%,21.64%,56.72%,100%,29.00%,-35.10%,797.58,787.91,788.42
2/26/2009,24.30%,20.56%,55.14%,100%,29.04%,-30.80%,779.42,765.76,764.9
3/5/2009,18.92%,10.81%,70.27%,100%,25.31%,-51.40%,708.27,696.27,712.87
3/12/2009,27.64%,17.89%,54.47%,100%,25.32%,-26.80%,727.47,714.76,721.36
3/19/2009,45.06%,16.67%,38.27%,100%,27.55%,6.80%,803.24,788.87,794.35
3/26/2009,39.13%,18.48%,42.39%,100%,29.28%,-3.30%,826.76,814.06,813.88
4/2/2009,42.66%,20.28%,37.06%,100%,31.53%,5.60%,835.91,814.53,811.08
4/9/2009,35.71%,20.00%,44.29%,100%,31.88%,-8.60%,850.8,829.29,825.16
4/16/2009,44.14%,20.00%,35.86%,100%,34.70%,8.30%,852.93,835.58,841.5
4/23/2009,31.82%,29.55%,38.64%,100%,35.64%,-6.80%,848.22,835.45,843.55
4/30/2009,36.09%,20.30%,43.61%,100%,37.78%,-7.50%,887.47,876.59,873.64
5/7/2009,44.09%,22.58%,33.33%,100%,39.84%,10.80%,929.58,919.58,919.53
5/14/2009,43.81%,20.95%,35.24%,100%,39.68%,8.60%,890.1,882.52,883.92
5/21/2009,33.72%,20.93%,45.35%,100%,39.01%,-11.60%,900.42,884.06,903.47
5/28/2009,40.37%,11.01%,48.62%,100%,38.72%,-8.30%,903.06,887.6,893.06
6/4/2009,47.56%,15.85%,36.59%,100%,40.20%,11.00%,936.22,931.29,931.76
6/11/2009,39.25%,21.50%,39.25%,100%,39.59%,0.00%,950.13,939.04,939.15
6/18/2009,33.33%,20.24%,46.43%,100%,39.78%,-13.10%,914.05,907.94,910.71
6/25/2009,28.00%,23.20%,48.80%,100%,38.77%,-20.80%,908.84,896.27,900.94
7/2/2009,37.84%,17.57%,44.59%,100%,37.99%,-6.80%,921.24,903.22,923.33
7/9/2009,27.91%,17.44%,54.65%,100%,36.00%,-26.70%,886.01,879.35,879.56
7/16/2009,28.68%,24.26%,47.06%,100%,35.37%,-18.40%,934.31,928.04,932.68
7/23/2009,37.60%,20.00%,42.40%,100%,35.02%,-4.80%,962.37,953.27,954.07
7/30/2009,47.67%,20.93%,31.40%,100%,35.04%,16.30%,994.95,976.01,975.15
8/6/2009,50.00%,14.84%,35.16%,100%,36.38%,14.80%,1008,997.59,1002.72
8/13/2009,51.00%,16.00%,33.00%,100%,38.59%,18.00%,1009.54,1000.82,1005.81
8/20/2009,34.07%,25.93%,40.00%,100%,39.35%,-5.90%,1004.08,996.39,996.46
8/27/2009,33.98%,17.48%,48.54%,100%,38.86%,-14.60%,1027.81,1016.83,1028.12
9/3/2009,37.97%,24.05%,37.97%,100%,40.12%,0.00%,1001.46,996.12,994.75
9/10/2009,37.33%,18.67%,44.00%,100%,41.20%,-6.70%,1033.94,1028.04,1033.37
9/17/2009,42.14%,17.86%,40.00%,100%,41.77%,2.10%,1074.77,1066.93,1068.76
9/24/2009,39.09%,16.36%,44.55%,100%,40.70%,-5.50%,1066.29,1051.04,1060.87
10/1/2009,43.55%,20.97%,35.48%,100%,39.89%,8.10%,1054.91,1043.65,1057.08
10/8/2009,35.09%,23.68%,41.23%,100%,37.90%,-6.10%,1066.86,1060.03,1057.58
10/15/2009,47.30%,18.92%,33.78%,100%,39.56%,13.50%,1090.89,1086.88,1092.02
10/22/2009,40.48%,23.81%,35.71%,100%,40.37%,4.80%,1101.36,1080.77,1081.4
10/29/2009,33.65%,24.04%,42.31%,100%,39.83%,-8.70%,1056.01,1043.69,1042.63
11/5/2009,22.22%,22.22%,55.56%,100%,37.94%,-33.30%,1060.98,1047.3,1046.5
11/12/2009,38.60%,22.80%,38.60%,100%,37.50%,0.00%,1105.37,1063.21,1098.51
11/19/2009,42.73%,25.45%,31.82%,100%,37.95%,10.90%,1106.44,1089.84,1109.8
11/26/2009,41.66%,16.66%,41.66%,100%,37.72%,0.00%,1105.47,1083.74,"1,110.63"
12/3/2009,41.58%,24.75%,33.66%,100%,38.53%,7.90%,1117.28,1109.24,"1,109.24"
12/10/2009,42.68%,21.95%,35.37%,100%,37.95%,7.30%,1106.25,1098.69,"1,095.95"
12/17/2009,42.11%,29.47%,28.42%,100%,38.15%,13.70%,1106.36,1098.16,"1,109.18"
12/24/2009,37.68%,24.64%,37.68%,100%,38.66%,0.00%,1130.38,1126.17,"1,127.78"
12/31/2009,49.18%,27.87%,22.95%,100%,42.03%,26.20%,1129.43,1116.56,"1,115.10"
1/7/2010,41.00%,33.00%,26.00%,100%,42.33%,15.00%,1136.27,1131.32,"1,137.14"
1/14/2010,47.44%,25.64%,26.92%,100%,42.92%,20.50%,1147.93,1143.8,"1,145.68"
1/21/2010,40.00%,25.26%,34.74%,100%,42.71%,5.30%,1141.58,1136.52,"1,138.04"
1/28/2010,35.00%,28.33%,36.67%,100%,41.89%,-1.70%,1100.22,1092.63,"1,097.50"
2/4/2010,29.23%,27.69%,43.08%,100%,40.21%,-13.90%,1097.25,1074.86,"1,097.28"
2/11/2010,36.75%,21.37%,41.88%,100%,39.54%,-5.10%,1069.05,1060.59,"1,068.13"
2/18/2010,35.85%,28.93%,35.22%,100%,39.31%,0.60%,1102.4,1097.48,"1,099.51"
2/25/2010,34.89%,35.57%,29.53%,100%,37.52%,5.40%,"1,106.42","1,106.42","1,094.60"
3/4/2010,35.86%,37.93%,26.21%,100%,36.88%,9.70%,"1,121.67","1,119.12","1,118.79"
3/11/2010,45.29%,29.41%,25.29%,100%,36.61%,20.00%,"1,143.96","1,139.99","1,145.61"
3/18/2010,35.37%,34.76%,29.88%,100%,36.03%,5.50%,"1,167.77","1,165.07","1,166.21"
3/25/2010,32.39%,32.95%,34.66%,100%,35.70%,-2.30%,"1,176.71","1,170.03","1,167.72"
4/1/2010,41.30%,27.54%,31.16%,100%,37.21%,10.10%,"1,181.43","1,171.23","1,169.43"
4/8/2010,42.86%,26.79%,30.36%,100%,37.98%,12.50%,"1,181.75","1,175.12","1,182.45"
4/15/2010,48.48%,21.82%,29.70%,100%,39.56%,18.80%,"1,210.77","1,208.64","1,210.65"
4/22/2010,38.12%,27.62%,34.25%,100%,39.96%,3.90%,"1,202.52","1,190.19","1,205.94"
4/29/2010,41.36%,30.00%,28.64%,100%,40.65%,12.70%,"1,202.59","1,193.30","1,191.36"
5/6/2010,39.13%,32.30%,28.57%,100%,39.88%,10.60%,"1,166.65","1,161.74","1,165.87"
5/13/2010,36.60%,26.80%,36.60%,100%,40.03%,0.00%,"1,170.61","1,164.48","1,171.67"
5/20/2010,41.30%,25.00%,33.70%,100%,41.14%,7.60%,"1,107.34","1,088.33","1,115.05"
5/27/2010,29.83%,19.30%,50.88%,100%,39.71%,-21.10%,"1,089.60","1,074.27","1,067.95"
6/3/2010,37.09%,22.07%,40.85%,100%,38.99%,-3.80%,"1,105.67","1,098.82","1,098.38"
6/10/2010,34.48%,22.41%,43.10%,100%,37.24%,-8.60%,"1,083.05","1,058.77","1,055.69"
6/17/2010,42.45%,26.89%,30.66%,100%,37.78%,11.80%,"1,117.72","1,106.38","1,114.61"
6/24/2010,34.46%,33.11%,32.43%,100%,36.92%,2.00%,"1,090.93","1,079.17","1,092.04"
7/1/2010,24.68%,33.33%,41.99%,100%,35.11%,-17.30%,"1,033.58","1,021.65","1,030.71"
7/8/2010,20.94%,21.99%,57.07%,100%,33.15%,-36.10%,"1,071.25","1,062.92","1,060.27"
7/15/2010,39.37%,22.84%,37.80%,100%,32.91%,1.60%,"1,095.17","1,080.53","1,095.17"
7/22/2010,32.16%,22.81%,45.03%,100%,33.20%,-12.90%,"1,094.59","1,072.14","1,069.59"
7/29/2010,40.00%,26.67%,33.33%,100%,33.57%,6.70%,"1,115.90","1,109.63","1,106.13"
8/5/2010,30.39%,31.37%,38.24%,100%,33.06%,-7.90%,"1,124.75","1,118.81","1,127.24"
8/12/2010,39.76%,30.12%,30.12%,100%,32.72%,9.60%,"1,083.88","1,076.69","1,089.47"
8/19/2010,30.11%,27.42%,42.47%,100%,32.18%,-12.40%,"1,092.44","1,077.35","1,094.16"
8/26/2010,20.74%,29.79%,49.47%,100%,31.68%,-28.70%,"1,060.25","1,055.38","1,055.33"
9/2/2010,30.80%,27.00%,42.21%,100%,32.92%,-11.40%,"1,086.55","1,080.39","1,080.29"
9/9/2010,43.87%,24.51%,31.61%,100%,33.48%,12.30%,"1,103.26","1,092.36","1,091.84"
9/16/2010,50.89%,24.85%,24.26%,100%,35.82%,26.60%,"1,123.89","1,118.90","1,125.07"
9/23/2010,44.97%,29.63%,25.40%,100%,36.44%,19.60%,"1,132.97","1,123.46","1,134.24"
9/30/2010,42.53%,25.86%,31.61%,100%,37.96%,10.90%,"1,157.16","1,145.97","1,144.73"
10/7/2010,49.03%,23.23%,27.74%,100%,39.12%,21.30%,"1,163.87","1,156.50","1,159.97"
10/14/2010,47.10%,26.09%,26.81%,100%,41.24%,20.30%,"1,177.95","1,174.04","1,178.10"
10/21/2010,49.62%,25.19%,25.19%,100%,44.85%,24.40%,"1,188.52","1,179.82","1,178.17"
10/28/2010,51.23%,27.16%,21.60%,100%,47.41%,29.60%,"1,189.53","1,184.47","1,182.45"
11/4/2010,48.23%,21.99%,29.79%,100%,47.95%,18.40%,"1,213.05","1,198.34","1,197.96"
11/11/2010,57.56%,13.95%,28.49%,100%,48.78%,29.10%,"1,227.08","1,220.29","1,225.85"
11/18/2010,40.00%,27.50%,32.50%,100%,48.16%,7.50%,"1,226.84","1,173.00","1,223.25"
11/25/2010,47.40%,27.92%,24.68%,100%,48.77%,22.70%,"1,200.29","1,198.35","1,199.73"
12/2/2010,49.66%,24.14%,26.21%,100%,48.85%,23.50%,"1,207.61","1,186.93","1,206.07"
12/9/2010,53.05%,24.39%,22.56%,100%,49.59%,30.50%,"1,235.05","1,186.60","1,228.28"
12/16/2010,50.23%,22.62%,27.15%,100%,49.67%,23.10%,"1,246.72","1,240.34","1,241.59"
12/23/2010,63.28%,20.31%,16.40%,100%,51.18%,46.90%,"1,259.39","1,254.94","1,258.84"
12/30/2010,51.61%,28.34%,20.05%,100%,51.60%,31.60%,"1,262.60","1,258.78","1,259.78"
1/6/2011,55.88%,25.86%,18.25%,100%,51.39%,37.60%,"1,277.63","1,254.19","1,276.56"
1/13/2011,52.34%,24.22%,23.44%,100%,52.93%,28.90%,"1,286.87","1,275.65","1,285.96"
1/20/2011,50.75%,20.15%,29.10%,100%,53.35%,21.70%,"1,296.06","1,290.16","1,295.02"
1/27/2011,42.04%,23.67%,34.29%,100%,52.40%,7.80%,"1,299.74","1,291.97","1,296.63"
2/3/2011,51.54%,21.59%,26.87%,100%,52.21%,24.70%,"1,308.86","1,275.10","1,304.03"
2/10/2011,49.40%,23.69%,26.91%,100%,52.11%,22.50%,"1,324.87","1,316.03","1,324.57"
2/17/2011,46.58%,27.85%,25.57%,100%,50.02%,21.00%,"1,337.61","1,329.51","1,336.32"
2/24/2011,36.63%,27.23%,36.14%,100%,48.15%,0.50%,"1,344.07","1,338.12","1,343.01"
3/3/2011,36.79%,30.05%,33.16%,100%,45.76%,3.60%,"1,332.09","1,320.55","1,327.22"
3/10/2011,35.97%,31.71%,32.32%,100%,43.71%,3.70%,"1,332.28","1,312.59","1,321.82"
3/17/2011,28.49%,31.39%,40.12%,100%,40.93%,-11.60%,"1,315.72","1,294.21","1,304.28"
3/24/2011,37.74%,27.27%,34.97%,100%,40.39%,2.80%,"1,300.58","1,292.70","1,298.38"
3/31/2011,41.81%,27.12%,31.07%,100%,39.18%,10.70%,"1,331.74","1,321.89","1,328.26"
4/7/2011,43.59%,27.56%,28.85%,100%,38.45%,14.70%,"1,339.38","1,328.89","1,335.54"
4/14/2011,42.25%,26.76%,30.99%,100%,37.91%,11.30%,"1,339.46","1,309.19","1,314.41"
4/21/2011,32.16%,36.84%,30.99%,100%,37.35%,1.20%,"1,332.66","1,319.12","1,330.36"
4/28/2011,37.90%,31.45%,30.65%,100%,37.49%,7.30%,"1,349.55","1,336.75","1,347.24"
5/5/2011,35.46%,32.67%,31.87%,100%,37.43%,3.60%,"1,370.58","1,358.69","1,363.61"
5/12/2011,30.77%,33.73%,35.50%,100%,37.71%,-4.70%,"1,359.44","1,348.34","1,357.16"
5/19/2011,26.69%,32.02%,41.29%,100%,36.33%,-14.60%,"1,351.05","1,333.36","1,348.65"
5/26/2011,25.61%,32.97%,41.42%,100%,34.30%,-15.80%,"1,346.82","1,336.36","1,343.60"
6/2/2011,30.18%,36.39%,33.43%,100%,32.63%,-3.30%,"1,345.20","1,314.41","1,314.55"
6/9/2011,24.42%,27.91%,47.67%,100%,30.40%,-23.30%,"1,312.94","1,297.90","1,300.16"
6/16/2011,29.00%,28.25%,42.75%,100%,30.00%,-13.80%,"1,294.54","1,279.63","1,289.00"
6/23/2011,37.46%,26.80%,35.74%,100%,29.95%,1.70%,"1,298.61","1,286.79","1,295.52"
6/30/2011,38.31%,31.49%,30.19%,100%,30.31%,8.10%,"1,309.21","1,296.85","1,307.41"
7/7/2011,41.77%,33.54%,24.68%,100%,31.68%,17.10%,"1,341.01","1,334.30","1,339.67"
7/14/2011,39.31%,31.45%,29.25%,100%,33.26%,10.10%,"1,356.48","1,313.33","1,317.72"
7/21/2011,39.86%,29.54%,30.61%,100%,35.04%,9.30%,"1,330.43","1,295.92","1,325.84"
7/28/2011,37.84%,30.74%,31.42%,100%,36.00%,6.40%,"1,347.00","1,303.49","1,304.89"
8/4/2011,27.16%,22.99%,49.85%,100%,36.34%,-22.70%,"1,316.32","1,234.56","1,260.34"
8/11/2011,33.43%,21.79%,44.78%,100%,36.89%,-11.40%,"1,260.23","1,101.54","1,120.76"
8/18/2011,35.56%,24.62%,39.82%,100%,36.66%,-4.30%,"1,208.47","1,121.30","1,193.88"
8/25/2011,36.44%,22.60%,40.96%,100%,36.42%,-4.50%,"1,190.68","1,121.09","1,159.27"
9/1/2011,38.62%,29.04%,32.34%,100%,36.03%,6.30%,"1,230.71","1,135.91","1,218.89"
9/8/2011,30.22%,29.50%,40.29%,100%,34.89%,-10.10%,"1,229.29","1,140.13","1,198.62"
9/15/2011,30.50%,28.15%,41.35%,100%,33.72%,-10.90%,"1,204.40","1,136.07","1,188.68"
9/22/2011,25.33%,26.67%,48.00%,100%,32.16%,-22.70%,"1,220.39","1,157.44","1,166.76"
9/29/2011,32.51%,20.68%,46.79%,100%,32.83%,-14.30%,"1,220.39","1,114.22","1,151.06"
10/6/2011,35.23%,19.04%,45.71%,100%,33.05%,-10.50%,"1,195.86","1,074.77","1,144.04"
10/13/2011,39.77%,23.86%,36.36%,100%,33.58%,3.40%,"1,220.25","1,074.77","1,207.25"
10/20/2011,35.98%,29.41%,34.60%,100%,33.52%,1.40%,"1,233.10","1,187.30","1,209.88"
10/27/2011,43.00%,32.00%,25.00%,100%,34.07%,18.00%,"1,256.55","1,191.48","1,242.00"
11/3/2011,40.18%,30.20%,29.62%,100%,35.31%,10.60%,"1,292.66","1,215.42","1,237.90"
11/10/2011,44.73%,30.70%,24.56%,100%,37.09%,20.20%,"1,277.55","1,215.42","1,229.10"
11/17/2011,41.93%,27.01%,31.04%,100%,39.17%,10.90%,"1,277.55","1,226.64","1,236.91"
11/24/2011,32.71%,29.01%,38.27%,100%,39.19%,-5.60%,"1,259.61","1,158.66","1,158.67"
12/1/2011,33.04%,27.53%,39.42%,100%,38.92%,-6.40%,"1,247.11","1,158.66","1,246.96"
12/8/2011,38.57%,26.66%,34.76%,100%,38.77%,3.80%,"1,267.06","1,191.80","1,261.01"
12/15/2011,40.18%,26.16%,33.64%,100%,39.29%,6.50%,"1,267.06","1,209.47","1,211.82"
12/22/2011,33.73%,38.04%,28.24%,100%,38.13%,5.50%,"1,249.86","1,202.37","1,243.72"
12/29/2011,40.60%,28.57%,30.83%,100%,38.19%,9.80%,"1,269.37","1,202.37","1,249.64"
1/5/2012,48.88%,33.95%,17.16%,100%,38.70%,31.70%,"1,284.62","1,248.64","1,277.30"
1/12/2012,49.14%,33.68%,17.18%,100%,39.61%,32.00%,"1,296.82","1,265.26","1,295.50"
1/19/2012,47.23%,29.15%,23.61%,100%,41.42%,23.60%,"1,308.11","1,274.55","1,308.04"
1/26/2012,48.40%,32.69%,18.91%,100%,43.34%,29.50%,"1,328.30","1,290.22","1,326.06"
2/2/2012,43.81%,31.12%,25.08%,100%,43.99%,18.70%,"1,333.47","1,300.49","1,324.09"
2/9/2012,51.64%,28.17%,20.19%,100%,45.43%,31.50%,"1,351.00","1,306.69","1,349.96"
2/16/2012,42.71%,30.65%,26.63%,100%,46.55%,16.10%,"1,355.87","1,335.92","1,343.23"
2/23/2012,43.69%,28.80%,27.51%,100%,46.94%,16.20%,"1,367.76","1,340.80","1,357.66"
3/1/2012,44.51%,28.66%,26.83%,100%,46.39%,17.70%,"1,378.04","1,352.28","1,365.68"
3/8/2012,42.38%,28.62%,29.00%,100%,45.55%,13.40%,"1,378.04","1,340.03","1,352.63"
3/15/2012,45.61%,27.20%,27.20%,100%,45.34%,18.40%,"1,399.42","1,340.03","1,394.28"
3/22/2012,42.38%,29.80%,27.81%,100%,44.59%,14.60%,"1,414.00","1,371.92","1,402.89"
3/29/2012,42.47%,32.05%,25.48%,100%,44.42%,17.00%,"1,419.15","1,386.87","1,405.54"
4/5/2012,38.17%,34.02%,27.80%,100%,42.74%,10.40%,"1,422.38","1,391.56","1,398.96"
4/12/2012,28.14%,30.30%,41.56%,100%,40.92%,-13.40%,"1,422.38","1,357.38","1,368.71"
4/19/2012,31.18%,34.98%,33.84%,100%,39.36%,-2.70%,"1,392.76","1,357.38","1,385.14"
4/26/2012,27.64%,34.96%,37.40%,100%,37.25%,-9.80%,"1,392.76","1,358.79","1,390.69"
5/3/2012,35.40%,36.13%,28.47%,100%,36.37%,6.90%,"1,415.32","1,366.82","1,402.31"
5/10/2012,25.40%,32.54%,42.06%,100%,33.85%,-16.70%,"1,415.32","1,343.13","1,354.58"
5/17/2012,23.58%,30.45%,45.97%,100%,31.50%,-22.40%,"1,369.16","1,324.79","1,324.80"
5/24/2012,30.47%,30.86%,38.67%,100%,30.00%,-8.20%,"1,344.94","1,291.98","1,318.86"
5/31/2012,28.02%,29.96%,42.02%,100%,28.73%,-14.00%,"1,334.93","1,295.73","1,313.32"
6/7/2012,27.45%,26.80%,45.75%,100%,28.64%,-18.30%,"1,334.93","1,266.74","1,315.13"
6/14/2012,34.04%,30.18%,35.79%,100%,29.00%,-1.80%,"1,335.52","1,274.16","1,314.88"
6/21/2012,32.89%,31.23%,35.88%,100%,29.66%,-3.00%,"1,363.46","1,306.62","1,355.69"
6/28/2012,28.67%,26.96%,44.37%,100%,28.81%,-15.70%,"1,363.46","1,309.27","1,331.85"
7/5/2012,32.64%,34.03%,33.33%,100%,29.72%,-0.70%,"1,374.81","1,313.29","1,374.02"
7/12/2012,30.23%,35.05%,34.73%,100%,30.55%,-4.50%,"1,374.81","1,333.25","1,341.45"
7/19/2012,22.19%,36.02%,41.79%,100%,29.51%,-19.60%,"1,375.26","1,325.41","1,372.78"
7/26/2012,28.12%,28.75%,43.13%,100%,29.53%,-15.00%,"1,380.39","1,329.24","1,337.89"
8/2/2012,30.45%,34.63%,34.93%,100%,29.90%,-4.50%,"1,391.74","1,329.24","1,375.14"
8/9/2012,36.47%,36.18%,27.35%,100%,30.21%,9.10%,"1,407.14","1,354.65","1,402.22"
8/16/2012,36.84%,35.09%,28.07%,100%,30.70%,8.80%,"1,410.03","1,394.46","1,405.53"
8/23/2012,41.96%,32.17%,25.87%,100%,32.36%,16.10%,"1,426.68","1,400.60","1,413.49"
8/30/2012,34.72%,32.64%,32.64%,100%,32.62%,2.10%,"1,426.68","1,398.04","1,410.49"
9/6/2012,33.06%,33.88%,33.06%,100%,32.98%,0.00%,"1,416.17","1,396.56","1,403.44"
9/13/2012,36.46%,30.56%,32.99%,100%,34.76%,3.50%,"1,439.15","1,396.56","1,436.56"
9/20/2012,37.50%,28.72%,33.78%,100%,35.93%,3.70%,"1,474.51","1,429.13","1,461.05"
9/27/2012,36.10%,27.44%,36.46%,100%,36.64%,-0.40%,"1,467.07","1,430.53","1,433.32"
10/4/2012,33.86%,32.91%,33.23%,100%,36.31%,0.60%,"1,463.24","1,430.53","1,450.99"
10/11/2012,30.58%,30.58%,38.85%,100%,35.53%,-8.30%,"1,470.96","1,430.64","1,432.56"
10/18/2012,28.66%,26.79%,44.55%,100%,33.87%,-15.90%,"1,462.20","1,425.53","1,460.91"
10/25/2012,29.25%,27.67%,43.08%,100%,33.18%,-13.80%,"1,464.02","1,407.10","1,408.75"
11/1/2012,35.74%,23.28%,40.98%,100%,33.52%,-5.20%,"1,457.34","1,403.28","1,412.16"
11/8/2012,38.50%,21.60%,39.91%,100%,33.77%,-1.40%,"1,433.38","1,388.14","1,394.53"
11/15/2012,28.82%,22.35%,48.82%,100%,32.69%,-20.00%,"1,433.38","1,352.50","1,355.49"
11/22/2012,35.82%,23.40%,40.78%,100%,32.65%,-5.00%,"1,391.25","1,343.35","1,391.03"
11/28/2012,40.93%,24.71%,34.36%,100%,33.54%,6.60%,"1,409.15","1,359.88","1,409.93"
12/6/2012,42.22%,23.17%,34.60%,100%,34.99%,7.60%,"1,416.34","1,385.43","1,409.28"
12/13/2012,43.23%,26.69%,30.08%,100%,36.81%,13.20%,"1,438.59","1,398.23","1,428.48"
12/20/2012,46.40%,28.80%,24.80%,100%,38.96%,21.60%,"1,448.00","1,411.88","1,435.81"
12/27/2012,44.40%,25.37%,30.22%,100%,40.04%,14.20%,"1,443.70","1,416.43","1,419.83"
1/3/2013,38.71%,25.09%,36.20%,100%,40.07%,2.50%,"1,462.43","1,398.11","1,462.42"
1/10/2013,46.45%,26.63%,26.92%,100%,42.27%,19.50%,"1,467.94","1,398.11","1,461.02"
1/17/2013,43.94%,28.73%,27.32%,100%,43.29%,16.60%,"1,473.96","1,451.64","1,472.63"
1/24/2013,52.34%,23.39%,24.27%,100%,44.71%,28.10%,"1,496.13","1,463.76","1,494.81"
1/31/2013,48.04%,27.65%,24.30%,100%,45.44%,23.70%,"1,509.94","1,481.16","1,501.96"
2/7/2013,42.77%,27.67%,29.56%,100%,45.38%,13.20%,"1,514.96","1,495.02","1,512.12"
2/14/2013,42.25%,29.01%,28.73%,100%,44.86%,13.50%,"1,524.69","1,495.71","1,520.33"
2/21/2013,41.79%,25.71%,32.50%,100%,44.54%,9.30%,"1,530.94","1,511.41","1,511.95"
2/28/2013,28.39%,35.02%,36.59%,100%,43.25%,-8.20%,"1,530.94","1,485.01","1,515.99"
3/7/2013,31.06%,30.43%,38.51%,100%,41.32%,-7.50%,"1,545.25","1,485.01","1,541.46"
3/14/2013,45.42%,22.55%,32.03%,100%,41.51%,13.40%,"1,556.77","1,541.46","1,554.52"
3/21/2013,38.94%,27.72%,33.33%,100%,39.83%,5.60%,"1,563.62","1,538.57","1,558.71"
3/28/2013,38.40%,32.95%,28.65%,100%,38.63%,9.70%,"1,564.91","1,538.57","1,562.85"
4/4/2013,35.49%,36.34%,28.17%,100%,37.72%,7.30%,"1,573.66","1,546.22","1,553.69"
4/11/2013,19.31%,26.21%,54.48%,100%,34.85%,-35.20%,"1,589.07","1,539.50","1,587.73"
4/18/2013,26.85%,24.93%,48.22%,100%,32.98%,-21.40%,"1,597.35","1,543.69","1,552.01"
4/25/2013,28.29%,32.89%,38.82%,100%,32.97%,-10.50%,"1,583.00","1,536.03","1,578.79"
5/2/2013,30.99%,33.10%,35.92%,100%,32.96%,-4.90%,"1,597.57","1,562.50","1,582.70"
5/9/2013,40.79%,31.77%,27.44%,100%,32.38%,13.40%,"1,632.78","1,581.28","1,632.69"
5/16/2013,38.49%,32.18%,29.34%,100%,32.33%,9.10%,"1,661.49","1,616.64","1,658.78"
5/23/2013,48.97%,29.45%,21.58%,100%,33.65%,27.40%,"1,687.18","1,633.75","1,655.35"
5/30/2013,35.97%,34.39%,29.64%,100%,33.71%,6.30%,"1,663.52","1,636.42","1,648.36"
6/6/2013,29.47%,31.58%,38.95%,100%,34.98%,-9.50%,"1,674.21","1,607.09","1,608.90"
6/13/2013,32.97%,32.43%,34.59%,100%,35.74%,-1.60%,"1,648.69","1,598.23","1,612.52"
6/20/2013,37.45%,32.58%,29.96%,100%,36.89%,7.50%,"1,654.19","1,608.07","1,628.93"
6/27/2013,30.28%,34.56%,35.17%,100%,36.80%,-4.90%,"1,654.19","1,560.33","1,603.26"
7/4/2013,41.99%,34.16%,23.84%,100%,36.95%,18.10%,"1,632.07","1,592.27","1,631.89"
7/11/2013,48.94%,32.77%,18.30%,100%,38.26%,30.60%,"1,657.92","1,604.57","1,652.62"
7/18/2013,47.74%,31.01%,21.25%,100%,38.10%,26.50%,"1,684.75","1,642.89","1,680.91"
7/25/2013,45.12%,32.32%,22.56%,100%,39.24%,22.60%,"1,698.78","1,671.84","1,685.94"
8/1/2013,35.62%,39.38%,25.00%,100%,40.01%,10.60%,"1,698.78","1,676.03","1,685.73"
8/8/2013,39.50%,33.86%,26.65%,100%,40.83%,12.90%,"1,709.67","1,682.42","1,690.91"
8/15/2013,34.51%,37.32%,28.17%,100%,40.46%,6.30%,"1,705.79","1,682.62","1,685.39"
8/22/2013,28.96%,28.19%,42.86%,100%,40.30%,-13.90%,"1,696.81","1,639.43","1,642.80"
8/29/2013,33.54%,35.71%,30.75%,100%,39.24%,2.80%,"1,669.51","1,627.47","1,634.96"
9/5/2013,35.53%,33.22%,31.25%,100%,37.56%,4.30%,"1,655.72","1,628.05","1,653.08"
9/12/2013,45.52%,29.90%,24.58%,100%,37.29%,20.90%,"1,689.13","1,633.41","1,689.13"
9/19/2013,45.11%,25.19%,29.70%,100%,37.28%,15.40%,"1,729.44","1,674.32","1,725.52"
9/26/2013,36.05%,33.33%,30.61%,100%,37.34%,5.40%,"1,729.86","1,691.70","1,692.77"
10/3/2013,37.84%,32.09%,30.07%,100%,37.13%,7.80%,"1,725.23","1,674.99","1,693.87"
10/10/2013,41.33%,25.09%,33.58%,100%,37.98%,7.70%,"1,696.55","1,646.47","1,656.40"
10/17/2013,46.28%,28.80%,24.92%,100%,40.15%,21.40%,"1,721.76","1,646.47","1,721.54"
