"","date","ticker","activity","sentiment","deltaActivity","deltaSentiment","newEntry"
"9551",2020-01-02,"TSLA",0.0226,0,-0.0014,0,FALSE
"9552",2020-01-02,"SPY",0.0147,3,-0.0341,-7,FALSE
"9553",2020-01-02,"ROKU",0.0119,0,0,0,TRUE
"9554",2020-01-02,"QQQ",0.0093,6,-0.0111,1,FALSE
"9555",2020-01-02,"MSFT",0.0116,2,-0.0181,1,FALSE
"9556",2020-01-02,"FB",0.0093,-2,-0.0078,-2,FALSE
"9557",2020-01-02,"BABA",0.0088,0,-0.0103,-2,FALSE
"9558",2020-01-02,"AMZN",0.0254,1,0.011,0,FALSE
"9559",2020-01-02,"AMD",0.0341,6,0.0069,2,FALSE
"9560",2020-01-02,"AAPL",0.0545,-1,0.0169,-2,FALSE
"9541",2020-01-03,"TSLA",0.0492,1,0.0266,1,FALSE
"9542",2020-01-03,"TQQQ",0.0108,5,-0.0042,12,FALSE
"9543",2020-01-03,"SPY",0.0178,3,0.0031,0,FALSE
"9544",2020-01-03,"ROKU",0.0107,1,-0.0012,1,FALSE
"9545",2020-01-03,"QQQ",0.0106,7,0.0013,1,FALSE
"9546",2020-01-03,"MSFT",0.0103,0,-0.0013,-2,FALSE
"9547",2020-01-03,"FB",0.0085,-2,-0.000799999999999999,0,FALSE
"9548",2020-01-03,"AMZN",0.0247,1,-0.000699999999999999,0,FALSE
"9549",2020-01-03,"AMD",0.0347,7,0.000600000000000003,1,FALSE
"9550",2020-01-03,"AAPL",0.062,-1,0.0075,0,FALSE
"9531",2020-01-06,"TSLA",0.0292,1,-0.1368,2,FALSE
"9532",2020-01-06,"TQQQ",0.0093,6,0.000199999999999999,2,FALSE
"9533",2020-01-06,"SPY",0.0134,2,-0.000999999999999999,-1,FALSE
"9534",2020-01-06,"ROKU",0.0188,0,0,0,TRUE
"9535",2020-01-06,"MSFT",0.0105,-2,-0.0125,-5,FALSE
"9536",2020-01-06,"FB",0.0105,-1,-0.0031,0,FALSE
"9537",2020-01-06,"BA",0.0097,0,-0.0167,1,FALSE
"9538",2020-01-06,"AMZN",0.0278,-1,0.0155,-1,FALSE
"9539",2020-01-06,"AMD",0.0219,8,0.0064,8,FALSE
"9540",2020-01-06,"AAPL",0.0521,0,0.0196,1,FALSE
"9521",2020-01-07,"TSLA",0.0548,1,0.0256,0,FALSE
"9522",2020-01-07,"TQQQ",0.0096,12,3e-04,6,FALSE
"9523",2020-01-07,"SPY",0.0122,3,-0.0012,1,FALSE
"9524",2020-01-07,"ROKU",0.0154,1,-0.0034,1,FALSE
"9525",2020-01-07,"MU",0.0171,-1,0,0,TRUE
"9526",2020-01-07,"FB",0.0112,-2,0.000699999999999999,-1,FALSE
"9527",2020-01-07,"BA",0.0189,1,0.0092,1,FALSE
"9528",2020-01-07,"AMZN",0.0259,0,-0.0019,1,FALSE
"9529",2020-01-07,"AMD",0.0281,9,0.0062,1,FALSE
"9530",2020-01-07,"AAPL",0.0415,0,-0.0106,0,FALSE
"9511",2020-01-08,"TSLA",0.0799,1,0.0251,0,FALSE
"9512",2020-01-08,"SPY",0.015,3,0.0028,0,FALSE
"9513",2020-01-08,"ROKU",0.0129,1,-0.0025,0,FALSE
"9514",2020-01-08,"QQQ",0.0094,10,0,2,FALSE
"9515",2020-01-08,"MSFT",0.0124,-1,-0.0124,-5,FALSE
"9516",2020-01-08,"BYND",0.0139,1,0.0027,-1,FALSE
"9517",2020-01-08,"BA",0.0129,1,-0.006,0,FALSE
"9518",2020-01-08,"AMZN",0.0227,0,-0.0032,0,FALSE
"9519",2020-01-08,"AMD",0.0228,8,-0.0053,-1,FALSE
"9520",2020-01-08,"AAPL",0.0482,0,0.0067,0,FALSE
"9501",2020-01-09,"TSLA",0.0689,1,-0.011,0,FALSE
"9502",2020-01-09,"TQQQ",0.0109,12,-0.0036,2,FALSE
"9503",2020-01-09,"SPY",0.0122,4,-0.0028,1,FALSE
"9504",2020-01-09,"ROKU",0.0149,1,0.002,0,FALSE
"9505",2020-01-09,"MSFT",0.0112,2,-0.0012,3,FALSE
"9506",2020-01-09,"BYND",0.0144,2,5e-04,1,FALSE
"9507",2020-01-09,"BA",0.0167,1,0.0038,0,FALSE
"9508",2020-01-09,"AMZN",0.0184,1,-0.0043,1,FALSE
"9509",2020-01-09,"AMD",0.0336,8,0.0108,0,FALSE
"9510",2020-01-09,"AAPL",0.0617,0,0.0135,0,FALSE
"9491",2020-01-10,"TSLA",0.0359,0,-0.033,-1,FALSE
"9492",2020-01-10,"TQQQ",0.0124,13,0.0015,1,FALSE
"9493",2020-01-10,"SPY",0.0148,2,0.0026,-2,FALSE
"9494",2020-01-10,"ROKU",0.0157,1,0.000799999999999999,0,FALSE
"9495",2020-01-10,"FB",0.0124,-1,-0.0019,0,FALSE
"9496",2020-01-10,"BYND",0.0232,2,0.0088,0,FALSE
"9497",2020-01-10,"BA",0.0136,0,-0.0031,-1,FALSE
"9498",2020-01-10,"AMZN",0.0197,1,0.0013,0,FALSE
"9499",2020-01-10,"AMD",0.023,8,-0.0106,0,FALSE
"9500",2020-01-10,"AAPL",0.0637,0,0.00200000000000001,0,FALSE
"9481",2020-01-13,"TSLA",0.074,0,0.0282,0,FALSE
"9482",2020-01-13,"TQQQ",0.0103,9,-0.0036,14,FALSE
"9483",2020-01-13,"SPY",0.011,3,-0.0239,0,FALSE
"9484",2020-01-13,"ROKU",0.0218,0,0.0075,1,FALSE
"9485",2020-01-13,"MSFT",0.0105,3,-0.0293,-1,FALSE
"9486",2020-01-13,"BYND",0.0298,1,0.0134,1,FALSE
"9487",2020-01-13,"BABA",0.0106,2,-0.0029,0,FALSE
"9488",2020-01-13,"AMZN",0.0161,1,0.0022,1,FALSE
"9489",2020-01-13,"AMD",0.0154,6,-0.0057,4,FALSE
"9490",2020-01-13,"AAPL",0.0456,0,0.0105,1,FALSE
"9471",2020-01-14,"TSLA",0.0737,0,-0.000299999999999995,0,FALSE
"9472",2020-01-14,"TQQQ",0.0111,10,8e-04,1,FALSE
"9473",2020-01-14,"SPY",0.013,5,0.002,2,FALSE
"9474",2020-01-14,"ROKU",0.0129,1,-0.0089,1,FALSE
"9475",2020-01-14,"MSFT",0.0099,4,-6e-04,1,FALSE
"9476",2020-01-14,"BYND",0.0525,1,0.0227,0,FALSE
"9477",2020-01-14,"BABA",0.0103,2,-3e-04,0,FALSE
"9478",2020-01-14,"AMZN",0.0198,1,0.0037,0,FALSE
"9479",2020-01-14,"AMD",0.0166,6,0.0012,0,FALSE
"9480",2020-01-14,"AAPL",0.0562,0,0.0106,0,FALSE
"9461",2020-01-15,"TSLA",0.0516,0,-0.0221,0,FALSE
"9462",2020-01-15,"TQQQ",0.0112,4,9.99999999999994e-05,-6,FALSE
"9463",2020-01-15,"TGT",0.0155,-1,0,0,TRUE
"9464",2020-01-15,"SPY",0.0143,8,0.0013,3,FALSE
"9465",2020-01-15,"ROKU",0.0105,1,-0.0024,0,FALSE
"9466",2020-01-15,"MSFT",0.0095,5,-0.000400000000000001,1,FALSE
"9467",2020-01-15,"BYND",0.0265,0,-0.026,-1,FALSE
"9468",2020-01-15,"AMZN",0.0175,3,-0.0023,2,FALSE
"9469",2020-01-15,"AMD",0.018,3,0.0014,-3,FALSE
"9470",2020-01-15,"AAPL",0.0473,0,-0.0089,0,FALSE
"9451",2020-01-16,"TSLA",0.0679,0,0.0163,0,FALSE
"9452",2020-01-16,"TQQQ",0.0099,5,-0.0013,1,FALSE
