"","date","ticker","activity","sentiment","deltaActivity","deltaSentiment","newEntry"
"9453",2020-01-16,"SPY",0.0129,8,-0.0014,0,FALSE
"9454",2020-01-16,"ROKU",0.0158,0,0.0053,-1,FALSE
"9455",2020-01-16,"MSFT",0.0131,6,0.0036,1,FALSE
"9456",2020-01-16,"BYND",0.0155,0,-0.011,0,FALSE
"9457",2020-01-16,"BABA",0.0085,2,-0.0069,0,FALSE
"9458",2020-01-16,"AMZN",0.0161,3,-0.0014,0,FALSE
"9459",2020-01-16,"AMD",0.0259,3,0.0079,0,FALSE
"9460",2020-01-16,"AAPL",0.0411,-1,-0.0062,-1,FALSE
"9441",2020-01-17,"TSLA",0.0436,0,-0.0243,0,FALSE
"9442",2020-01-17,"TQQQ",0.0131,9,0.0032,4,FALSE
"9443",2020-01-17,"SPY",0.0145,8,0.0016,0,FALSE
"9444",2020-01-17,"ROKU",0.0103,0,-0.0055,0,FALSE
"9445",2020-01-17,"MSFT",0.0138,7,0.000699999999999999,1,FALSE
"9446",2020-01-17,"BYND",0.0116,0,-0.0039,0,FALSE
"9447",2020-01-17,"BA",0.0178,1,0.0072,6,FALSE
"9448",2020-01-17,"AMZN",0.0201,2,0.004,-1,FALSE
"9449",2020-01-17,"AMD",0.0239,3,-0.002,0,FALSE
"9450",2020-01-17,"AAPL",0.0459,-1,0.00480000000000001,0,FALSE
"9431",2020-01-21,"TSLA",0.0462,0,-0.0178,0,FALSE
"9432",2020-01-21,"TQQQ",0.0137,19,-0.0017,17,FALSE
"9433",2020-01-21,"SPY",0.014,6,-0.0017,-4,FALSE
"9434",2020-01-21,"ROKU",0.0132,0,-8e-04,-1,FALSE
"9435",2020-01-21,"NFLX",0.0135,0,-0.0056,-2,FALSE
"9436",2020-01-21,"BYND",0.0307,0,0,0,TRUE
"9437",2020-01-21,"BA",0.0284,1,0.0107,8,FALSE
"9438",2020-01-21,"AMZN",0.0199,1,0.0077,0,FALSE
"9439",2020-01-21,"AMD",0.0183,5,-0.0117,0,FALSE
"9440",2020-01-21,"AAPL",0.0318,-1,0.0045,1,FALSE
"9421",2020-01-22,"TSLA",0.0876,0,0.0414,0,FALSE
"9422",2020-01-22,"SPY",0.0123,6,-0.0017,0,FALSE
"9423",2020-01-22,"ROKU",0.0139,-1,0.000699999999999999,-1,FALSE
"9424",2020-01-22,"NFLX",0.0279,-1,0.0144,-1,FALSE
"9425",2020-01-22,"MSFT",0.0115,7,-0.019,6,FALSE
"9426",2020-01-22,"BYND",0.0273,0,-0.0034,0,FALSE
"9427",2020-01-22,"BA",0.0331,0,0.0047,-1,FALSE
"9428",2020-01-22,"AMZN",0.0168,2,-0.0031,1,FALSE
"9429",2020-01-22,"AMD",0.0153,5,-0.003,0,FALSE
"9430",2020-01-22,"AAPL",0.0325,-1,0.000699999999999999,0,FALSE
"9411",2020-01-23,"TSLA",0.0586,0,-0.029,0,FALSE
"9412",2020-01-23,"SPY",0.0148,4,0.0025,-2,FALSE
"9413",2020-01-23,"ROKU",0.0114,-1,-0.0025,0,FALSE
"9414",2020-01-23,"NFLX",0.0375,0,0.0096,1,FALSE
"9415",2020-01-23,"BYND",0.0116,0,-0.0157,0,FALSE
"9416",2020-01-23,"BABA",0.0103,1,-0.0216,3,FALSE
"9417",2020-01-23,"BA",0.0152,-1,-0.0179,-1,FALSE
"9418",2020-01-23,"AMZN",0.0129,1,-0.0039,-1,FALSE
"9419",2020-01-23,"AMD",0.0166,6,0.0013,1,FALSE
"9420",2020-01-23,"AAPL",0.0313,0,-0.0012,1,FALSE
"9401",2020-01-24,"TSLA",0.0354,0,-0.0232,0,FALSE
"9402",2020-01-24,"TQQQ",0.0126,12,-0.0053,20,FALSE
"9403",2020-01-24,"SPY",0.0211,3,0.0063,-1,FALSE
"9404",2020-01-24,"NFLX",0.0292,0,-0.0083,0,FALSE
"9405",2020-01-24,"INTC",0.0261,-9,0.003,-5,FALSE
"9406",2020-01-24,"BYND",0.0129,0,0.0013,0,FALSE
"9407",2020-01-24,"BA",0.0236,-1,0.0084,0,FALSE
"9408",2020-01-24,"AMZN",0.0191,1,0.0062,0,FALSE
"9409",2020-01-24,"AMD",0.0284,7,0.0118,1,FALSE
"9410",2020-01-24,"AAPL",0.0472,0,0.0159,0,FALSE
"9391",2020-01-27,"TSLA",0.0349,0,-0.0011,0,FALSE
"9392",2020-01-27,"TQQQ",0.0124,12,-0.0014,16,FALSE
"9393",2020-01-27,"SPY",0.0239,5,-0.007,4,FALSE
"9394",2020-01-27,"QQQ",0.0131,9,-0.0029,2,FALSE
"9395",2020-01-27,"MSFT",0.0147,4,-0.0107,3,FALSE
"9396",2020-01-27,"BYND",0.0198,0,0.0033,2,FALSE
"9397",2020-01-27,"BABA",0.0133,-2,-0.0176,-2,FALSE
"9398",2020-01-27,"AMZN",0.0156,1,-0.008,0,FALSE
"9399",2020-01-27,"AMD",0.0188,6,-0.0078,2,FALSE
"9400",2020-01-27,"AAPL",0.059,0,0.0162,2,FALSE
"9381",2020-01-28,"TSLA",0.0389,0,0.004,0,FALSE
"9382",2020-01-28,"TQQQ",0.0149,5,0.0025,-7,FALSE
"9383",2020-01-28,"SPY",0.0174,3,-0.0065,-2,FALSE
"9384",2020-01-28,"NFLX",0.0107,-1,-0.0085,0,FALSE
"9385",2020-01-28,"MSFT",0.0142,4,-0.000499999999999999,0,FALSE
"9386",2020-01-28,"FB",0.0103,-1,-0.0074,-3,FALSE
"9387",2020-01-28,"BYND",0.0137,0,-0.0061,0,FALSE
"9388",2020-01-28,"AMZN",0.0155,1,-9.99999999999994e-05,0,FALSE
"9389",2020-01-28,"AMD",0.0238,7,0.005,1,FALSE
"9390",2020-01-28,"AAPL",0.067,0,0.00800000000000001,0,FALSE
"9371",2020-01-29,"TSLA",0.0458,0,0.0069,0,FALSE
"9372",2020-01-29,"SPY",0.0167,2,-0.000699999999999999,-1,FALSE
"9373",2020-01-29,"MSFT",0.022,5,0.0078,1,FALSE
"9374",2020-01-29,"GE",0.0121,6,0,0,TRUE
"9375",2020-01-29,"FB",0.027,1,0.0167,2,FALSE
"9376",2020-01-29,"BYND",0.0119,0,-0.0018,0,FALSE
"9377",2020-01-29,"BA",0.0173,0,-0.0073,2,FALSE
"9378",2020-01-29,"AMZN",0.0142,1,-0.0013,0,FALSE
"9379",2020-01-29,"AMD",0.0434,7,0.0196,0,FALSE
"9380",2020-01-29,"AAPL",0.0788,0,0.0118,0,FALSE
"9361",2020-01-30,"TSLA",0.0685,0,0.0227,0,FALSE
"9362",2020-01-30,"TQQQ",0.015,-1,0.0015,-5,FALSE
"9363",2020-01-30,"SPY",0.0183,3,0.0016,1,FALSE
"9364",2020-01-30,"QQQ",0.0097,4,-0.0029,-3,FALSE
"9365",2020-01-30,"MSFT",0.0308,4,0.0088,-1,FALSE
"9366",2020-01-30,"FB",0.0386,1,0.0116,0,FALSE
"9367",2020-01-30,"BA",0.0078,0,-0.0095,0,FALSE
"9368",2020-01-30,"AMZN",0.0221,1,0.0079,0,FALSE
"9369",2020-01-30,"AMD",0.0283,5,-0.0151,-2,FALSE
"9370",2020-01-30,"AAPL",0.0457,0,-0.0331,0,FALSE
"9351",2020-01-31,"TSLA",0.0361,0,-0.0324,0,FALSE
"9352",2020-01-31,"TQQQ",0.0164,0,0.0014,1,FALSE
"9353",2020-01-31,"SPY",0.0273,4,0.009,1,FALSE
"9354",2020-01-31,"ROKU",0.0132,0,0,0,TRUE
"9355",2020-01-31,"MSFT",0.0168,3,-0.014,-1,FALSE
"9356",2020-01-31,"LK",0.0164,1,0,0,TRUE
"9357",2020-01-31,"FB",0.0206,2,-0.018,1,FALSE
"9358",2020-01-31,"AMZN",0.0492,-2,0.0271,-3,FALSE
"9359",2020-01-31,"AMD",0.0211,4,-0.0072,-1,FALSE
"9360",2020-01-31,"AAPL",0.0591,0,0.0134,0,FALSE
"9341",2020-02-03,"TSLA",0.1337,0,0.1111,0,FALSE
"9342",2020-02-03,"TQQQ",0.0112,7,-0.0038,14,FALSE
"9343",2020-02-03,"SPY",0.0167,4,0.002,1,FALSE
"9344",2020-02-03,"MSFT",0.0155,2,0.0039,0,FALSE
"9345",2020-02-03,"GOOGL",0.0097,3,0,0,TRUE
"9346",2020-02-03,"GOOG",0.0101,1,0,0,TRUE
"9347",2020-02-03,"FB",0.0099,2,0.000600000000000002,4,FALSE
"9348",2020-02-03,"AMZN",0.0205,-1,-0.0049,-2,FALSE
"9349",2020-02-03,"AMD",0.017,2,-0.0171,-4,FALSE
"9350",2020-02-03,"AAPL",0.0578,-1,0.0033,0,FALSE
"9331",2020-02-04,"TSLA",0.206,0,0.1568,-1,FALSE
"9332",2020-02-04,"SPY",0.014,2,-0.0038,-1,FALSE
"9333",2020-02-04,"MSFT",0.0184,3,0.0081,3,FALSE
"9334",2020-02-04,"GOOGL",0.0115,3,0.0018,0,FALSE
"9335",2020-02-04,"GOOG",0.0105,3,0.000400000000000001,2,FALSE
"9336",2020-02-04,"FB",0.0093,2,0.000799999999999999,4,FALSE
"9337",2020-02-04,"DIS",0.0116,7,0,0,TRUE
"9338",2020-02-04,"AMZN",0.0137,-1,-0.011,-2,FALSE
"9339",2020-02-04,"AMD",0.0149,1,-0.0198,-6,FALSE
"9340",2020-02-04,"AAPL",0.037,0,-0.025,1,FALSE
"9321",2020-02-05,"TSLA",0.166,-1,-0.04,-1,FALSE
"9322",2020-02-05,"TQQQ",0.0091,4,-0.0078,4,FALSE
"9323",2020-02-05,"SPY",0.0144,3,0.000399999999999999,1,FALSE
"9324",2020-02-05,"SNAP",0.0113,7,-0.0576,6,FALSE
"9325",2020-02-05,"QQQ",0.0088,4,-0.0074,5,FALSE
"9326",2020-02-05,"MSFT",0.023,3,0.0046,0,FALSE
"9327",2020-02-05,"DIS",0.0184,6,0.0068,-1,FALSE
"9328",2020-02-05,"AMZN",0.0123,0,-0.0014,1,FALSE
"9329",2020-02-05,"AMD",0.0155,0,6e-04,-1,FALSE
"9330",2020-02-05,"AAPL",0.0325,-1,-0.0045,-1,FALSE
"9311",2020-02-06,"TWTR",0.0223,-1,-0.0418,-2,FALSE
"9312",2020-02-06,"TSLA",0.1495,-3,-0.0165,-2,FALSE
"9313",2020-02-06,"TQQQ",0.0079,2,-0.0012,-2,FALSE
"9314",2020-02-06,"SPY",0.0136,3,-8e-04,0,FALSE
"9315",2020-02-06,"MSFT",0.0198,4,-0.0032,1,FALSE
"9316",2020-02-06,"GILD",0.0079,6,0,0,TRUE
"9317",2020-02-06,"BA",0.0153,-1,-0.0111,0,FALSE
"9318",2020-02-06,"AMZN",0.0095,0,-0.0028,0,FALSE
"9319",2020-02-06,"AMD",0.0209,1,0.0054,1,FALSE
"9320",2020-02-06,"AAPL",0.0299,-1,-0.0026,0,FALSE
"9301",2020-02-07,"UBER",0.0311,11,0,0,TRUE
"9302",2020-02-07,"TSLA",0.0733,-3,0.0441,-4,FALSE
"9303",2020-02-07,"SPY",0.0178,4,0.0044,2,FALSE
"9304",2020-02-07,"QQQ",0.0094,8,-0.0085,7,FALSE
"9305",2020-02-07,"PINS",0.014,5,0,0,TRUE
"9306",2020-02-07,"MSFT",0.0248,4,0.0143,6,FALSE
"9307",2020-02-07,"BYND",0.0112,2,-0.014,3,FALSE
"9308",2020-02-07,"AMZN",0.0194,-1,-0.0084,0,FALSE
"9309",2020-02-07,"AMD",0.0218,1,-9.99999999999994e-05,-7,FALSE
"9310",2020-02-07,"AAPL",0.0431,0,-0.009,0,FALSE
"9291",2020-02-10,"WORK",0.0127,2,0,0,TRUE
"9292",2020-02-10,"UBER",0.0111,10,0,0,TRUE
"9293",2020-02-10,"TSLA",0.1106,-2,0.0417,-3,FALSE
"9294",2020-02-10,"SPY",0.0126,5,0.000399999999999999,1,FALSE
"9295",2020-02-10,"ROKU",0.0144,-2,-5e-04,-3,FALSE
"9296",2020-02-10,"NVDA",0.013,2,-0.0142,6,FALSE
"9297",2020-02-10,"MSFT",0.029,4,0.0178,2,FALSE
"9298",2020-02-10,"AMZN",0.0196,-1,0.0012,-2,FALSE
"9299",2020-02-10,"AMD",0.0271,1,-0.0065,-7,FALSE
"9300",2020-02-10,"AAPL",0.0387,-1,-0.023,-1,FALSE
"9281",2020-02-11,"TSLA",0.0477,-1,0.0118,-1,FALSE
"9282",2020-02-11,"TQQQ",0.0117,1,-0.000699999999999999,-12,FALSE
"9283",2020-02-11,"SPY",0.0142,5,-6e-04,3,FALSE
"9284",2020-02-11,"ROKU",0.0226,-1,0.0069,-2,FALSE
"9285",2020-02-11,"NVDA",0.0205,2,0.0075,0,FALSE
"9286",2020-02-11,"MSFT",0.0439,5,0.0149,1,FALSE
"9287",2020-02-11,"FB",0.0206,1,0.0082,2,FALSE
"9288",2020-02-11,"AMZN",0.0236,0,0.0039,-1,FALSE
"9289",2020-02-11,"AMD",0.0308,2,0.0078,-6,FALSE
"9290",2020-02-11,"AAPL",0.0305,-1,-0.0332,-1,FALSE
"9271",2020-02-12,"TSLA",0.0458,0,-0.0019,1,FALSE
"9272",2020-02-12,"SHOP",0.023,-3,0,0,TRUE
"9273",2020-02-12,"ROKU",0.0143,-1,-0.0083,0,FALSE
"9274",2020-02-12,"NVDA",0.013,1,-0.0075,-1,FALSE
"9275",2020-02-12,"MU",0.0151,1,0,0,TRUE
"9276",2020-02-12,"MSFT",0.0398,4,-0.0041,-1,FALSE
"9277",2020-02-12,"BABA",0.0135,2,-0.0112,-3,FALSE
"9278",2020-02-12,"AMZN",0.0139,0,-0.0097,0,FALSE
"9279",2020-02-12,"AMD",0.0211,2,-0.0097,0,FALSE
"9280",2020-02-12,"AAPL",0.0351,-1,0.0046,0,FALSE
"9261",2020-02-13,"TSLA",0.1058,0,0.06,0,FALSE
"9262",2020-02-13,"SPY",0.0145,9,-0.0204,6,FALSE
"9263",2020-02-13,"SHOP",0.0128,-2,-0.0102,1,FALSE
"9264",2020-02-13,"ROKU",0.0175,-1,0.0032,0,FALSE
"9265",2020-02-13,"NVDA",0.0155,1,0.0025,0,FALSE
"9266",2020-02-13,"MSFT",0.0336,2,-0.0062,-2,FALSE
"9267",2020-02-13,"BABA",0.02,2,0.0065,0,FALSE
"9268",2020-02-13,"AMZN",0.0117,0,-0.0022,0,FALSE
"9269",2020-02-13,"AMD",0.022,3,0.000899999999999998,1,FALSE
"9270",2020-02-13,"AAPL",0.0323,-1,-0.0028,0,FALSE
"9251",2020-02-14,"TSLA",0.0568,0,-0.0172,0,FALSE
"9252",2020-02-14,"SPY",0.013,14,0.002,11,FALSE
"9253",2020-02-14,"SPCE",0.0146,1,-0.0101,0,FALSE
"9254",2020-02-14,"ROKU",0.0825,0,0.0607,0,FALSE
"9255",2020-02-14,"QQQ",0.0089,11,-0.0064,12,FALSE
"9256",2020-02-14,"NVDA",0.0413,0,0.0258,-1,FALSE
"9257",2020-02-14,"MSFT",0.021,2,0.0105,-1,FALSE
"9258",2020-02-14,"AMZN",0.0111,1,-0.005,0,FALSE
"9259",2020-02-14,"AMD",0.0192,3,0.0038,-3,FALSE
"9260",2020-02-14,"AAPL",0.0281,0,-0.0175,0,FALSE
"9241",2020-02-18,"TSLA",0.0623,0,0.0187,0,FALSE
"9242",2020-02-18,"TQQQ",0.0106,-2,-0.0025,-11,FALSE
"9243",2020-02-18,"SPY",0.013,12,-0.0015,4,FALSE
"9244",2020-02-18,"SPCE",0.0353,1,0,0,TRUE
"9245",2020-02-18,"ROKU",0.0218,0,0.0115,0,FALSE
"9246",2020-02-18,"NVDA",0.0206,0,-0.0061,-2,FALSE
"9247",2020-02-18,"MSFT",0.0227,2,0.0089,-5,FALSE
"9248",2020-02-18,"AMZN",0.0117,1,-0.0084,-1,FALSE
"9249",2020-02-18,"AMD",0.0324,5,0.0085,2,FALSE
"9250",2020-02-18,"AAPL",0.0568,0,0.0109,1,FALSE
"9231",2020-02-19,"TSLA",0.1068,0,0.0445,0,FALSE
"9232",2020-02-19,"SPY",0.0106,12,-0.0024,0,FALSE
"9233",2020-02-19,"SPCE",0.0277,1,-0.0076,0,FALSE
"9234",2020-02-19,"ROKU",0.0184,1,-0.0034,1,FALSE
"9235",2020-02-19,"NVDA",0.0293,0,0.0087,0,FALSE
"9236",2020-02-19,"MSFT",0.0159,2,-0.0068,0,FALSE
"9237",2020-02-19,"ENPH",0.0165,-1,0,0,TRUE
"9238",2020-02-19,"AMZN",0.0108,1,-9e-04,0,FALSE
"9239",2020-02-19,"AMD",0.0297,6,-0.0027,1,FALSE
"9240",2020-02-19,"AAPL",0.0305,-1,-0.0263,-1,FALSE
"9221",2020-02-20,"TSLA",0.064,0,-0.0428,0,FALSE
"9222",2020-02-20,"TQQQ",0.0154,2,-0.0023,6,FALSE
"9223",2020-02-20,"SPY",0.0157,10,0.0051,-2,FALSE
"9224",2020-02-20,"SPCE",0.0498,0,0.0221,-1,FALSE
"9225",2020-02-20,"ROKU",0.014,1,-0.0044,0,FALSE
"9226",2020-02-20,"NVDA",0.0321,0,0.0028,0,FALSE
"9227",2020-02-20,"MSFT",0.024,2,0.0081,0,FALSE
"9228",2020-02-20,"AMZN",0.0122,1,0.0014,0,FALSE
"9229",2020-02-20,"AMD",0.03,5,0.000299999999999998,-1,FALSE
"9230",2020-02-20,"AAPL",0.0273,-2,-0.0032,-1,FALSE
"9211",2020-02-21,"TSLA",0.0549,1,-0.0091,1,FALSE
"9212",2020-02-21,"TQQQ",0.0141,0,-0.0013,-2,FALSE
"9213",2020-02-21,"SPY",0.0201,4,0.0044,-6,FALSE
"9214",2020-02-21,"SPCE",0.0155,-1,-0.0343,-1,FALSE
"9215",2020-02-21,"QQQ",0.0149,13,-0.0038,7,FALSE
"9216",2020-02-21,"NVDA",0.029,-1,-0.0031,-1,FALSE
"9217",2020-02-21,"MSFT",0.0305,1,0.0065,-1,FALSE
"9218",2020-02-21,"AMZN",0.0163,1,0.0041,0,FALSE
"9219",2020-02-21,"AMD",0.0376,5,0.0076,0,FALSE
"9220",2020-02-21,"AAPL",0.036,-2,0.0087,0,FALSE
"9201",2020-02-24,"TSLA",0.039,1,-0.0196,1,FALSE
"9202",2020-02-24,"TQQQ",0.0156,-1,-0.0023,7,FALSE
"9203",2020-02-24,"SPY",0.0274,3,0.0126,-1,FALSE
"9204",2020-02-24,"SPCE",0.0132,-2,0,0,TRUE
"9205",2020-02-24,"QQQ",0.0165,11,-0.0039,0,FALSE
"9206",2020-02-24,"NVDA",0.0221,-1,-0.0067,-1,FALSE
"9207",2020-02-24,"MSFT",0.0293,1,0.0071,3,FALSE
"9208",2020-02-24,"AMZN",0.0225,0,0.0096,-1,FALSE
"9209",2020-02-24,"AMD",0.0281,4,0.0115,-2,FALSE
"9210",2020-02-24,"AAPL",0.0415,-2,0.0102,-2,FALSE
"9191",2020-02-25,"TSLA",0.04,0,0.0046,0,FALSE
"9192",2020-02-25,"TQQQ",0.0142,-2,0.0016,-14,FALSE
"9193",2020-02-25,"SPY",0.0321,3,0.011,0,FALSE
"9194",2020-02-25,"SPCE",0.011,-3,-0.0022,-1,FALSE
"9195",2020-02-25,"QQQ",0.0158,8,-0.000699999999999999,-3,FALSE
"9196",2020-02-25,"NVDA",0.0213,-2,-0.000800000000000002,-1,FALSE
"9197",2020-02-25,"MSFT",0.0272,0,-0.0021,-1,FALSE
"9198",2020-02-25,"AMZN",0.023,0,0.0039,-1,FALSE
"9199",2020-02-25,"AMD",0.0266,3,-0.0018,-4,FALSE
"9200",2020-02-25,"AAPL",0.0453,-3,-0.0019,-3,FALSE
"9181",2020-02-26,"TSLA",0.036,0,-0.004,0,FALSE
"9182",2020-02-26,"TQQQ",0.0138,-4,-0.000400000000000001,-2,FALSE
"9183",2020-02-26,"SPY",0.0309,1,-0.0012,-2,FALSE
"9184",2020-02-26,"QQQ",0.016,7,0.000199999999999999,-1,FALSE
"9185",2020-02-26,"NVDA",0.0192,-2,-0.0021,0,FALSE
"9186",2020-02-26,"MSFT",0.0254,1,-0.0018,1,FALSE
"9187",2020-02-26,"MRNA",0.0157,1,-0.0039,0,FALSE
"9188",2020-02-26,"AMZN",0.0236,1,6e-04,1,FALSE
"9189",2020-02-26,"AMD",0.0266,4,0,1,FALSE
"9190",2020-02-26,"AAPL",0.0428,-2,-0.0025,1,FALSE
